geo,name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ltu,Lithuania,54,57,58,59,59,59,59,60,60,61,62,61
lux,Luxembourg,80,80,82,85,81,82,81,80,80,81,77,78
lva,Latvia,49,53,55,56,57,58,58,56,57,59,59,60
mar,Morocco,37,37,39,36,37,40,43,41,40,39,38,38
mda,Moldova,36,35,35,33,30,31,33,32,34,36,39,42
mdg,Madagascar,32,28,28,28,26,24,25,24,25,26,26,25
mdv,Maldives,,,,,36,33,31,29,43,40,40,39
mex,Mexico,34,34,35,31,30,29,28,29,31,31,31,31
mkd,North Macedonia,43,44,45,42,37,35,37,35,35,39,40,42
mli,Mali,34,28,32,35,32,31,32,29,30,29,28,28
mlt,Malta,57,56,55,60,55,56,54,54,53,54,51,51
mmr,Myanmar,15,21,21,22,28,30,29,29,28,28,23,20
mne,Montenegro,41,44,42,44,45,46,45,45,45,46,45,46
mng,Mongolia,36,38,39,39,38,36,37,35,35,35,33,33
moz,Mozambique,31,30,31,31,27,25,23,26,25,26,26,25
mrt,Mauritania,31,30,30,31,27,28,27,28,29,28,30,30
mus,Mauritius,57,52,54,53,54,50,51,52,53,54,50,51
mwi,Malawi,37,37,33,31,31,31,32,31,30,35,34,34
mys,Malaysia,49,50,52,50,49,47,47,53,51,48,47,50
nam,Namibia,48,48,49,53,52,51,53,52,51,49,49,49
ner,Niger,33,34,35,34,35,33,34,32,32,31,32,32
nga,Nigeria,27,25,27,26,28,27,27,26,25,24,24,25
nic,Nicaragua,29,28,28,27,26,26,25,22,22,20,19,17
nld,Netherlands,84,83,83,84,83,82,82,82,82,82,80,79
nor,Norway,85,86,86,88,85,85,84,84,84,85,84,84
npl,Nepal,27,31,29,27,29,31,31,34,33,33,34,35
nzl,New Zealand,90,91,91,91,90,89,87,87,88,88,87,85
omn,Oman,47,47,45,45,45,44,52,52,54,52,44,43
pak,Pakistan,27,28,29,30,32,32,33,32,31,28,27,29
pan,Panama,38,35,37,39,38,37,37,36,35,36,36,35
per,Peru,38,38,38,36,35,37,35,36,38,36,36,33
phl,Philippines,34,36,38,35,35,34,36,34,34,33,33,34
png,Papua New Guinea,25,25,25,25,28,29,28,28,27,31,30,29
pol,Poland,58,60,61,63,62,60,60,58,56,56,55,54
prk,North Korea,8,8,8,8,12,17,14,17,18,16,17,17
prt,Portugal,63,62,63,64,62,63,64,62,61,62,62,61
pry,Paraguay,25,24,24,27,30,29,29,28,28,30,28,28
qat,Qatar,68,68,69,71,61,63,62,62,63,63,58,58
rou,Romania,44,43,43,46,48,48,47,44,44,45,46,46
rus,Russia,28,28,27,29,29,29,28,28,30,29,28,26
rwa,Rwanda,53,53,49,54,54,55,56,53,54,53,51,53
sau,Saudi Arabia,44,46,49,52,46,49,49,53,53,53,51,52
sdn,Sudan,13,11,11,12,14,16,16,16,16,20,22,20
sen,Senegal,36,41,43,44,45,45,45,45,45,43,43,43
sgp,Singapore,87,86,84,85,84,84,85,85,85,85,83,83
slb,Solomon Islands,,,,,42,39,44,42,42,43,42,43
sle,Sierra Leone,31,30,31,29,30,30,30,33,33,34,34,35
slv,El Salvador,38,38,39,39,36,33,35,34,36,34,33,31
som,Somalia,8,8,8,8,10,9,10,9,12,13,12,11
srb,Serbia,39,42,41,40,42,41,39,39,38,38,36,36
ssd,South Sudan,,14,15,15,11,12,13,12,12,11,13,13
stp,Sao Tome and Principe,42,42,42,42,46,46,46,46,47,45,45,45
sur,Suriname,37,36,36,36,45,41,43,44,38,39,40,40
svk,Slovak Republic,46,47,50,51,51,50,50,50,49,52,53,54
svn,Slovenia,61,57,58,60,61,61,60,60,60,57,56,56
swe,Sweden,88,89,87,89,88,84,85,85,85,85,83,82
swz,Eswatini,37,39,43,,,39,38,34,33,32,30,30
syc,Seychelles,52,54,55,55,,60,66,66,66,70,70,71
syr,Syria,26,17,20,18,13,14,13,13,14,13,13,13
tcd,Chad,19,19,22,22,20,20,19,20,21,20,19,20
tgo,Togo,30,29,29,32,32,32,30,29,29,30,30,31
tha,Thailand,37,35,38,38,35,37,36,36,36,35,36,35
tjk,Tajikistan,22,22,23,26,25,21,25,25,25,25,24,20
tkm,Turkmenistan,17,17,17,18,22,19,20,19,19,19,19,18
tls,Timor-Leste,33,30,28,28,35,38,35,38,40,41,42,43
tto,Trinidad and Tobago,39,38,38,39,35,41,41,40,40,41,42,42
tun,Tunisia,41,41,40,38,41,42,43,43,44,44,40,40
tur,Turkey,49,50,45,42,41,40,41,39,40,38,36,34
tza,Tanzania,35,33,31,30,32,36,36,37,38,39,38,40
uga,Uganda,29,26,26,25,25,26,26,28,27,27,26,26
ukr,Ukraine,26,25,26,27,29,30,32,30,33,32,33,36
ury,Uruguay,72,73,73,74,71,70,70,71,71,73,74,73
usa,USA,73,73,74,76,74,75,71,69,67,67,69,69
uzb,Uzbekistan,17,17,18,19,21,22,23,25,26,28,31,33
vct,St. Vincent and the Grenadines,62,62,62,,60,58,58,59,59,59,60,60
ven,Venezuela,19,20,19,17,17,18,18,16,15,14,14,13
vnm,Vietnam,31,31,31,31,33,35,33,37,36,39,42,41
vut,Vanuatu,,,,,,43,46,46,43,45,48,48
yem,Yemen,23,18,19,18,14,16,14,15,15,16,16,16
zaf,South Africa,43,42,44,44,45,43,43,44,44,44,43,41
zmb,Zambia,37,38,38,38,38,37,35,34,33,33,33,37
zwe,Zimbabwe,20,21,21,21,22,22,22,24,24,23,23,24
